N.B	EH N B
CHIKARA	CH IH K AH R AH
SNICKERER	S N IH K ER ER
FURY'S	F Y UH R IY Z
SMOULDERS	S M OW L D AH R Z
CONCESSIBLE	K AH N S EH S AH B AH L
IMPRESSIBLE	IH M P R EH S AH B AH L
COMMINUTE	K AH M IH N AH T
WINSOMELY	W IH N S AH M L IY
IMPOLITELY	IH M P AH L AY T L IY
PARAMOURS	P AE R AH M OW Y AH R Z
ENJOYISHNESS	EH N JH OY IH SH N AH S
LITTLE-GIRL	L IH T AH L G ER L
COYISHNESS	K OY IH SH N AH S
CLOYLESS	K L OY L AH S
FEATHERBRAINS	F EH DH ER B R EY N Z
SADY	S AE D IY
RIVERBANKS	R IH V ER B AE NG K S
CONY-FISH	K OW N IY F IH SH
CONJUGALITY'S	K AA N JH IH G AH L AH T IY Z
FORMALITY'S	F AO R M AE L AH T IY Z
LEGALITY'S	L IY G AE L AH T IY Z
MALEVOLENCE	M AH L EH V AH L AH N S
RHYME-WORD	R AY M W ER D
COMMENSALITY'S	K AH M EH N Z AH L AH T IY Z
PUGNACIOUSLY	P AH G N AH S IY OW AH S L IY
MAXILLARY	M AE K S AH L EH R IY
CODICILLARY	K OW D IH K S IH L EH R IY
COMMENSURABLE	K AH M EH N Z Y ER AH B AH L
SQUINCH	S K W IH N CH
BUM-FREEZER	B AH M F R IY Z ER
OLL-UH-ROH	AO L AH R OW
TITISEE	T IH T IY Z IY
CONTRIVANCY	K AH N T R AY V AH N S IY
IVANCY	AY V AE N S IY
CONNIVENCY	K AH N AY V AH N S IY
CONNIVANCY	K AH N AY V AH N S IY
COLUMBIUM	K OW L AH M B IY AH M
ORE'S	AO R Z
COLUMBIFEROUS	K OW L AH M B IH F AH R AH S
METALLIFEROUS	M EH T AH L AY F ER AH S
NIOBIFEROUS	N AY AH B IH F AH R AH S
CON-CAVES	K AA N K EY V Z
CON-VEX	K AA N V EH K S
ANORGANOGNOSY	AH N AO R G AH N AA G N AH Z IY
NOG	N AA G
ANORGANOGRAPHY	AH N AO R G AH N AA G R AH F IY
CONVENIENCY	K AH N V IY N Y AH N S IY
RHYMELESS	R AY M L AH S
HAS-BEENIENCE	HH AE Z B IY AH N IY AH N S
RACE-MY-NEW-ROVERISH	R EY S M AY N UW R OW V ER IH SH
WHIP-CRACKING	W IH P K R AE K IH NG
DROVERISH	D R OW V ER IH SH
CHIAUS	CH AY AH AH S
CHOUSH	CH AW SH
COLINEAR	K OW L IH N IY ER
LINE-SHARING	L AY N SH EH R IH NG
OTOMIES	AA T AH M AY Z
CONTRACONSCIENTIOUSLY	K AA N T R AH K AA N CH IY EH N CH AH S L IY
BLOW-HORN	B L OW HH AO R N
COEHORN	K OW EH HH AH R N
CUH-RYE-VUHL	K UW R AY V AH L
COH	K OW
CORRIVAL/CO-RIVAL	K AO R AH V AH L K OW R AY V AH L
WARFARING	W AO R F EH R IH NG
STRIKING-FORCE-FULLY-AFLOAT	S T R AY K IH NG F AO R S F UH L IY AH F L OW T
LANDING-CRAFT	L AE N D IH NG K R AE F T
BEACHWARDS	B IY CH W ER D Z
AIRPLANES-TAKE-NOTE	EH R P L EY N Z T EY K N OW T
BAFFY	B AE F IY
SCAFFY	S K AE F IY
CO-ORDINATES	K OW AO R D AH N AH T S
GAINABLE	G EY N AH B AH L
WAINABLE	W EY N AH B AH L
CONTAINABLE	K AH N T EY N AH B AH L
KOK-SIX	K AA K S IH K S
KOK-SI-JEEZ	K AA K S IY JH IY Z
COCCYGES	K AA K S AY JH AH Z
KOK-SIJ-EE-UHL	K AA K S IH JH IY AH L
BUM-BONE	B AH M B OW N
CORDIFORM	K AA R D IH F AH R M
VENUS'S	V IY N AH S IX Z
ANTIMONARCHISTS	AE N T AY M AA N AA R K IH S T S
AMBIGRAM	AE M B IH G R AH M
BLOB-OF-LARD	B L AA B AH V L AA R D
ON-THE-BLINK	AA N DH AH B L IH NG K
FRUITLESSNESS	F R UW T L AH S N AH S
FLOCCINAUCINIHILI	F L AA K S IH N AH S AH N IH HH AH L IY
CHETVERTS	CH EH T V AH R T S
RUDITY	R UW D AH T IY
NUDITY'S	N UW D IH T IY Z
CRUDITY'S	K R UW D AH T IY Z
PRUDITY	P R UW D AH T IY
COPROPHAGY'S	K AA P R AH F AE JH AH Z
SCATOPHAGOUS	S K AE T AH F EY JH AH S
COPROPHAGANS	K AA P R AH F AE G AH N Z
OVER-INFLATED	OW V ER IH N F L EY T IH D
CRUNKLE	K R AH NG K AH L
SPUNK'LL	S P AH NG K L
BARDLETS	B AA R D L AH T S
SHAKESPEARES	SH AE K AH S IY R Z
ANACHORISM	AE N AH CH AH R IH Z AH M
FILM-PHARAOH'S	F IH L M F EH R OW Z
COE-DUH-SUHL	K OW D AH S AH L
EE-DUH	IY D AH
EE-TUH	IY T UW
CAHITA	K AE HH AH T AH
PROTRACTILELY	P R OW T R AE K T IH L IY
PINKIE-TIPS	P IH NG K IY T IH P S
CLINODACTYLY	K L IH N AH D AE K T AH L IY
INCONSONANT	IH N K AA N S AH N AH N T
RANT'LL	R AE N T L
CHLAMYPHORES	K L AE M AH F AH R Z
DILLOS	D IH L AA S
CHIROGNOMY	CH AH R AA G N AH M IY
BALLED-UP	B AO L D AH P
BLENNY'S	B L EH N AH Z
BLENNIID	B L EH N IY D
BLENNIOIDEI	B L EH N IY OY D IY
BLENNIOIDS	B L EH N IY OY D Z
TWO-FOR-A-PENNY	T UW F AO R EY P EH N IY
CAESIOUS	K EY Z IY AH S
LABOURING	L EY B ER IH NG
BEANFEAST	B IY N F IY S T
BETWEEN-FEAST	B IH T W IY N F IY S T
BIPED'S	B AY P EH D Z
CRYSTOLEUM	K R IH S T OW L IY AH M
BOANERGES	B OW N AH R JH AH Z
BOH-UH-NUR-JEEZ	B OW AH N UH R JH IY Z
ORATOR'S	AO R AH T ER Z
CLERGIES	K L ER JH IY Z
ARSINOITHERIA	AA R S AH N OY TH IY R IY AH
FOSSIL-FILLED	F AA S AH L F IH L D
CENTRIFUGALLY	S EH N T R IH F Y AH G AH L IY
AOK	EY AH K
SURIBACHI'S	S AH R IH B AH CH AH Z
SEX-APPEALED	S EH K S AH P IY L D
SKIRL	S K AH R L
PENNERS	P EH N ER Z
VIGNETRISTS	V IH G N EH T R AH S T S
NOVELETTE	N AA V AH L EH T
NOVELETRISTS	N AA V AH L EH T R AH S T S
BELLETRISTS	B IH L EH T R AH S T S
CHIPPENDALISM	CH IH P EH N D EY L IH Z AH M
RHYMY	R AY M IY
SYZYGY'S	S IH Z AH JH AH Z
GLYPHS	G L IH F S
SYTH	S IH TH
MYRRHY-SYLPH	M ER IY S IH L F
SPRYLY	S P R IH L IY
BOBBY-DAZZLERS	B AA B IY D AE Z AH L ER Z
CHRISTOPHERS	K R IH S T AH F AH R Z
ROBBIES	R AA B IY Z
BOSTHOON	B AA S TH UW N
BLEN-UHM	B L EH N AH M
WOODSTOCK'S	W UH D S T AA K S
WHIZZ-DAZZLED	W IH Z D AE Z AH L D
Z-RAZZMATAZZ	Z IY R AE Z M AH T AE Z
ZIZZY	Z IH Z IY
ZYZZYVA'S	Z IH Z AH V AH Z
IZZARDS	IH Z AH R D Z
FRIZZED	F R IH Z D
GIZZARDS	JH IH Z AH R D Z
ZIZZING	Z IH Z AH NG
GUM-SPLATS	G AH M S P L AE T S
TELL'S	T EH L Z
MYSTIC'S	M IH S T IH K S
MONISTIC	M AA N AH S T AH K
PANOPTIC	P AE N AA P T IH K
ERISTIC	EH R AH S T AH K
THEISTIC	TH IY IH S T IH K
ORTHOPTIC	AO R TH AH P T AH K
SHORTER-BY-FAR	SH AO R T ER B AY F AA R
DETICKER	D IY T IH K ER
CYCLONITE	S IH K L AH N AY T
DHA	D HH AA
NEDDISH	N EH D AH SH
WORLD-RECORD	W ER L D R AH K AO R D
BIBLE-THUMPERS	B AY B AH L TH AH M P ER Z
PRE-EMPT	P R IY EH M P T
CHEESED	CH IY Z D
ATISHOOS	AE T AH SH UW Z
CHIVIED	CH IH V IY D
HUP	HH AH P
ABOVE-CITED	AH B AH V S AY T AH D
CHUNKING	CH AH NG K IH NG
ORIENTAL-TYPE	AO R IY EH N T AH L T AY P
SONG-WRITERS	S AO NG R AY T ER Z
CLAMOURINGS	K L AE M AH R AH NG Z
CHOO-CHOO'S	CH UW CH UW Z
CHESTWIG	CH EH S T W IH G
R.B	AA R B
GRUMPILY	G R AH M P AH L IY
CHUNTER	CH AH N T AH R
NIGHT-VISION	N AY T V IH ZH AH N
HOBNOBS	HH AA B N AA B Z
SOYLENT	S OY L EH N T
MOLEHILLS	M OW L HH IH L Z
CO-STARRING	K OW S T AA R IH NG
CHARACTERY	K AE R IH K T ER IY
SUFFIXOID	S AH F AH K S OY D
BENICE	B IH N AY S
NON-FEIGNED	N AA N F EY N D
SO-SEXY	S OW S EH K S IY
CONSPISSATION	K AH N S P AY Z EY SH AH N
CALL-FIRE	K AO L F AY ER
FLATLINING	F L AE T L AY N IH NG
TRACKSIDE	T R AE K S AY D
CATENARIES	K EY T AH N EH R IY Z
I...PHEW	AY F Y UW
HOBBYROOM'S	HH AA B IY R UW M Z
FLUNNEL	F L AH N AH L
CELLISTS	CH EH L AH S T S
COIN-FLIP	K OY N F L IH P
TWO-THIRTY	T UW TH ER D IY
DENTISTRY'S	D EH N T IH S T R IY Z
COUPLING'S	K AH P L IH NG Z
COLLYWOBBLES	K AA L IH W AH B AH L Z
OVER-FENCE	OW V ER F EH N S
SMOKE-LADEN	S M OW K L EY D AH N
DUVET'S	D Y UW V AH T S
NIGHTIE-CLAD	N AY T IY K L AE D
COSINESS	K OW Z IY N AH S
CEREMONIALISTS	S EH R AH M OW N IY AH L IH S T S
REFUELLING	R IY F Y UW AH L IH NG
STICKUP	S T IH K AH P
NUCULAR	N Y UW K Y AH L AH R
DIFFICLUTY	D IH F IH K L AH T IY
WEATHER-WISE	W EH DH ER W AY Z
BROLLY'S	B R AA L IY Z
BOUDICCA	B AW D IH K AH
ICENI	IH S AH N IY
CHERCH	CH AH R CH
GBS	JH IY B IY S
OFFSETTING'S	AO F S EH T IH NG Z
FOUR-BY-FOURS	F AO R B AY F AO R Z
SOUTHPAW	S AW TH P AO
6UP	S IH K S Y UW P IY
1809	W AH N EY T Z IY R OW N AY N
SYLPH'S	S IH L F S
MEROWS	M AH R OW Z
HAMIL'S	HH AE M AH L Z
M'LLORD	M L AO R D
CZARISH	Z AA R IH SH
CZARIAN	K Z AE R IY AH N
CZARATE	Z AA R AH T
CZARIN	Z AA R IH N
CZAREVITCH	K Z AE R AH V AH CH
CZARISM	Z AA R IH Z AH M
CZARICIDE	K Z AE R AH S AY D
TSK-TSK	T IY EH S K T IY EH S K
AQUA'S	AE K W AH Z
H-TO-O	EY CH T UW OW
H-I-J-K	EY CH AY JH EY K EY
L-N-O	EH L EH N OW
RAEF	R IY F
EMORDNI-LAP'S	AH M AO R D N IY L AE P S
ETON'S	IY T AH N Z
HATE-KEER	HH EY T K IY AH R
REV'S	R EH V Z
OSTENSIVELY	AA S T EH N S IH V L IY
ALNOY	AE L N OW IY
ALALAYA'S	AH L AE L EY AH Z
DROSSKY	D R AA S IY
SIMILE'S	S IH M AH L IY Z
OUTMANOEUVRED	AW T M AH N OW EH AH V AH R D
STRAFED	S T R EY F T
SHELL-SHOCKED	SH EH L SH AA K T
MUXED	M AH K S T
BALANCE-RELATED	B AE L AH N S R IH L EY T IH D
CHAT-UP	CH AE T AH P
DEMOBBED	D IY M AA B D
CALLISTHENICS	K AO L IH S T HH EH N IH K S
STHENOS	S TH EH N AH Z
CALLI	K AE L IY
CIRCUMCURSATION	S ER K AH M K ER S EY SH AH N
AROUSAL'S	ER AW Z AH L Z
YOU...OH	Y UW OW
OOOPS	UW AH P S
IT'S...WOTSIT	IH T S W AA T S AH T
LIKE...SORT	L AY K S AO R T
OF...LET'S	AH V L EH T S
OF...DON'T	AH V D OW N T
SOFT-PORN	S AA F T P AO R N
MAG'S	M AE G Z
CENTREFOLD	S EH N T ER F OW L D
ABOVEDECK	AH B AH V D EH K
PLUCKERS	P L AH K ER Z
BONKBUSTER'S	B AO NG K B AH S T AH R Z
AMSCRAY	AE M S R EY IY
MACHINE-GUN	M AH SH IY N G AH N
GOPHERWOOD	G AA F AH R W UW D
CHIROPODISTS	CH AH R AA P AH D AH S T S
ASBO'D	AE Z AH D
REAP'LL	R IY P L
PENDULUM'S	P EH N JH AH L AH M Z
UNLATCHED	AH N L AE CH T
CHRONOGRAPHER	K R AH N AA G R AH F AH R
OVERSTRESS	OW V ER S T R EH S
RECONNOITRE	R AH K AH N OY T AH R
UND'R	AH N D R
COPPER-BOTTOMED	K AA P ER B AA T AH M D
CLOTHESLINES	K L OW DH Z L AY N Z
WELL-LAUNDERED	W EH L L AO N D ER D
CENTRE-SPRING-LOADED	S EH N T ER S P R IH NG L OW D AH D
ONLYS	AO N L IY Z
INTROSPECTIVELY	IH N T R AH S P EH K T IH V L IY
GUNG-HO	G AH NG HH OW
CUSTOMER-FRIENDLIER	K AH S T AH M ER F R EH N D L IY ER
DEVALUES	D IY V AE L Y UW Z
WHADYA	W AA D AY AH
SIXTY-FIFTH	S IH K S T IY F IH F TH
TU-WHIT	T UW W IH T
TU-WHOO	T UW W UW
PALM-TO-PALM	P AA M T UW P AA M
NON-VOCAL	N AA N V OW K AH L
BATTALION-WISE	B AH T AE L Y AH N W AY Z
CROWD-PULLERS	K R AW D P UH L ER Z
SHILLS	SH IH L Z
PRESENT...YES	P R EH Z AH N T Y EH S
4X4S	F OW R EH K S F OW R EH S
2X2S	T UW EH K S T UW EH S
READY-MADE	R EH D IY M EY D
COAGULATES	K OW AE G Y AH L AH T S
COCK-A-LEEKIE'S	K AA K EY L IY K IY Z
CHICKEN-LEEK	CH IH K AH N L IY K
CALIBRE'S	K AE L AH B ER Z
ANTIPROSTITUTION	AE N T AY P R AA S T AH T UW SH AH N
PRE-ELECTION'S	P R IY IH L EH K SH AH N Z
SNOWDEN'S	S N OW D AH N Z
YOSSARIAN	Y AA S EH R IY AH N
PUNISHMENT'S	P AH N IH SH M AH N TS
CHOKY	CH OW K IY
THOUGH'S	DH OW Z
CHRONOMETRY'S	K R AA N AH M EH T R AH Z
JH	JH EY
ANTICLOCKWISE	AE N T AY K L AA K W AY Z
OFF-ROAD	AO F R OW D
STREET-BOUND	S T R IY T B AW N D
BEHAVE'LL	B IH HH EY V L
SOUL-SEARCHINGS	S OW L S ER CH IH NG Z
NAVELS	N EY V AH L Z
KNELL'S	N EH L Z
CORRUPTNESS	K AH R AH P T N AH S
COTOPAXI'S	K OW T AA P AE K S IY Z
FIRST-FEATURE	F ER S T F IY CH ER
STURGEON'S	S T ER JH AH N Z
EGGS-CELLENT	EH G Z S EH L AH N T
BLEEPED	B L IY P T
GROUND-SOILING	G R AW N D S OY L IH NG
VEE-SHAPE	V IY SH EY P
DUSK-TO-DAWN	D AH S K T UW D AO N
ANTIRADAR	AE N T AY R EY D AA R
F5.6	EH F AY V S IH K S
NOISE-FILLED	N OY Z F IH L D
SIGN-POSTED	S AY N P OW S T IH D
DETOUR'S	D IH T UH R Z
CHATROOMS	CH AE T R UW M Z
NOSE-TO-TAIL	N OW Z T UW T EY L
TREVITHICK	T R EH V AH TH AH K
SHORT-TEMPERED	SH AO R T T EH M P ER D
RARIN	R AE R AH N
COMBAT-READY	K AA M B AE T R EH D IY
4X4'S	F OW R EH K S F OW R L EH T AH R EH S
ONE-IN-ONES	W AH N IH N W AH N Z
UNFORSEEN	AH N F AO R S IY N
APPEAL-WISE	AH P IY L W AY Z
PRE-EMPTING	P R IY EH M P T IH NG
FANATIC'S	F AH N AE T IH K S
BOJANGLES	B AA JH AH N G AH L Z
A-CLICK	EY K L IH K
POINT-BLANK	P OY N T B L AE NG K
CHURCHWARDEN'S	CH ER CH W ER D AH N Z
WELL-THUMBED	W EH L TH AH M D
CARTRIDGE-PACKED	K AA R T R AH JH P AE K T
FORAGERS	F AO R IH JH ER Z
ANTICARCINOGEN	AE N T AH K AA R S IH N AH JH AH N
LYCOPENE'S	L IH K AH P IY N AH Z
TO...WAIT	T UW W EY T
OVERPOND	OW V ER P AA N D
ASTRO-PHYSICISTS	AE S T R OW F IH Z IH S IH S T S
BARRACKING	B AE R AH K IH NG
FLARED-MUZZLE	F L EH R D M AH Z AH L
CAMSHAFT'S	K AE M SH AE F TS
COKUM	K OW K AH M
AFFRAYS	AE F R EY Z
LONGED-FOR	L AO NG D F AO R
RESPITES	R EH S P AH T S
SLIME-COATED	S L AY M K OW T AH D
PASSAGE'S	P AE S AH JH IX Z
HAEMORRHOIDS	HH IY M AH R OY D Z
SUPPOSITORIES	S AH P AA Z AH T ER IY Z
LONGBOATS	L AO NG B OW T S
LUGSAIL	L AH G S EY L
COBLES	K OW B AH L Z
LOCO'S	L OW K OW Z
CREASE-FREE	K R IY S F R IY
SILKY-SMOOTH	S IH L K IY S M UW DH
ROCK-STREWN	R AA K S T R UW N
SMOOOOTH	S M UW UW TH
NON-CHRISTIANS	N AA N K R IH S CH AH N Z
NOCTURNALLY	N AA K T ER N AH L IY
CHOAXIODACTYL	CH OW K S IY AH D AE K T AH L
TIGHT-CIRCLING	T AY T S ER K AH L IH NG
M.A.D	EH M EY D
HRNEY	HH R N IY IY
FROD	F R AA D
AUTOPILOT'S	AO T OW P AY L AH TS
CHOCKER	CH AA K ER
BROWNED-OFF	B R AW N D AO F
CAPE-FLAPPING	K EY P F L AE P IH NG
CUBAN-HEELED	K Y UW B AH N HH IY L D
ANTI-CLOCKWISE	AE N T IY K L AA K W AY Z
DEXTROROTATION	D IH Z T R AO R AH T EY SH AH N
DESEXUALISE	D AH S EH K S Y UW AH L AY Z
CLONE'S	K L OW N Z
ARRIVAL'S	ER AY V AH L Z
VALUER	V AE L Y UW ER
TOMBSTONING'S	T UW M S T OW N IH NG Z
HANKY-PANKY'S	HH AE NG K IY P AE NG K IY Z
SCARPER	S K AA R P AH R
RAMPART	R AE M P AA R T
ACTIUM	AE K T IY AH M
ROW-PACING	R OW P EY S IH NG
DRUM-BEATING	D R AH M B IY T IH NG
M.V	EH M V
CHEQUEBOOKS	CH EH K W AH B AH K S
CONJECTURED	K AH N JH EH K CH ER D
DIBNAH	D IH B N AH
PISA'S	P IY S AH Z
DESPONDENCY'S	D IH S P AA N D AH N S IY Z
DESUETUDE	D EH S W IH T UW D
PULLED-OVER	P UH L D OW V ER
DEMORALISED	D IY M AH R AE L IY Z D
TWO-FIFTY	T UW F IH F T IY
SECOND-GUESSED	S EH K AH N D G EH S T
APERTURE'S	AE P ER CH ER Z
SITUATION-WISE	S IH CH UW EY SH AH N W AY Z
CUSHTY	K AH SH T IY
TOMBSTONE'S	T UW M S T OW N Z
METRED	M IY T ER D
BOOZE-SOAKED	B UW Z S OW K T
PHILISTINE'S	F IH L AH S T IY N Z
BROADSHEET'S	B R AO D SH IY T S
TUMBRIL'S	T AH M B R AH L Z
GIMBLE	JH IH M B AH L
SABRE'S	S EY B ER Z
BELABOURS	B IH L EY B ER Z
CLIMB-DOWN	K L AY M D AW N
KEY-TAPPING	K IY T AE P IH NG
INVERSE-SQUARE	IH N V ER S S K W EH R
TENZING	T EH N Z IH NG
CONQUERABLE	K AA NG K ER AH B AH L
TURN-ON	T ER N AA N
DEPILATION	D IY P AY L EY SH AH N
FORTY-ONE	F AO R T IY W AH N
DEFOLIATE	D AH F AA L AY EY T
BROADSHEETS	B R AO D SH IY T S
DEFLORATION	D IY F L OW R EY SH AH N
GOING'S	G OW IH NG Z
NECKERCHIEF	N EH K ER CH IY F
COALFIELD'S	K OW L F IY L D Z
COMFORT-ZONE	K AH M F ER T Z OW N
ABIOLOGISTS	AH B AY AA L AH JH AH S T S
WHIRRED	W ER D
DOWNWASH	D AW N W AA SH
DOXOLOGICAL	D AA K S AA L AH JH IH S AH L
VOCALISED	V OW K AH L IY Z D
THREESOMES	TH R IY S AH M Z
COMPSOGNATHUS	K AA M S AA G N AH TH AH S
CANVASSED-FLOORED	K AE N V AH S T F L AO R D
FOUR-CORNERED	F AO R K AO R N ER D
BEE-LIKE	B IY L AY K
GUM-SHIELD	G AH M SH IY L D
TING-A-LING	T IH NG EY L IH NG
STRING-SLAPPER	S T R IH NG S L AE P ER
ROXANE	R AA K S EY N
LEFT-TURNING	L EH F T T ER N IH NG
DEXTROTROPIC'S	D IH Z T R AA T R AH P AH S Z
SHOWDOWNING	SH OW D AW N IH NG
AUDEN'S	AO D AH N Z
NAAFI	N AA F IY
STUBBLE-CHINNED	S T AH B AH L CH IH N D
PAIN-RISING	P EY N R AY Z IH NG
FIT-THEM-ALL	F IH T DH EH M AO L
MANOEUVRE	M AE N OW AH UW V AH R
DRY-GULCHING	D R AY G AH L CH AH NG
CONSIDERATENESS	K AH N S IH D ER AH T N AH S
TRAWLED	T R AO L D
START-TRIGGER'S	S T AA R T T R IH G ER Z
SHELL-POCKED	SH EH L P AA K T
BLOOD-SPATTERED	B L AH D S P AE T ER D
SKATEBOARD'S	S K EY T B AO R D Z
POLYPODIALES	P AH L AH P OW D IY EY L Z
DRYOPTERIDACEAE	D R AY AA P T AH R AH D EY S IY
COLD-CALLING	K OW L D K AO L IH NG
URANIUM-235	Y ER EY N IY AH M T UW TH R IY F AY V
COMEBACK'S	K AH M B AE K S
ANGLO-FRAN	AE NG G L OW F R AE N
CROW-BAIT	K R OW B EY T
SWEET-TALKING	S W IY T T AO K IH NG
ACHROITE	AE K R OY T
COMPANIONABLENESS	K AH M P AE N Y AH N AH B AH L N AH S
VICE'S	V AY S IX Z
BENCH'S	B EH N CH IX Z
GUMSHIELD	G AH M SH IY L D
INFLOOOOOOENCE	IH N F L UW UW UW AH N S
HOT-LOOKIN	HH AA T L UH K IH N
TWO-DIGIT	T UW D IH JH AH T
WINNEBAGOS	W IH N EH B AH G AH Z
CARD-CASTLE	K AA R D K AE S AH L
DESTABILISE	D IH S T AE B AH L AY Z
ANNOTATIVE	AE N AH T EY T AH V
ROOTED-UP	R UW T AH D AH P
BATTLE-SCARRED	B AE T AH L S K AA R D
BARBERSHOP'S	B AA R B ER SH AA P S
MATHS-TYPE	M AE TH S T AY P
ERGODIC	AH R G AH D AH K
PEARLY-WHITES	P ER L IY W AY T S
SATANIC-SCALE	S AH T AE N IH K S K EY L
ILKLEY	IH L K L IY
AMIDASE	AE M AH D EY Z
H-BOMB-LINKED	EY CH B AA M L IH NG K T
GORBIE	G AO R B AY
RUBBERLIKE	R AH B ER L AY K
FACE-SAVERS	F EY S S EY V ER Z
FAST-BREAKING	F AE S T B R EY K IH NG
FLAT-EARTH	F L AE T ER TH
FARTHERMOST	F AA R TH ER M OW S T
HOTCHPOTCH	HH AA CH AH CH
ARK'S	AA R K S
FARRAGO	F AE R AH G OW
MOVIE-BUFF	M UW V IY B AH F
HAND-BUILT	HH AE N D B IH L T
TENTERHOOKS	T EH N T ER HH UH K S
AWE-FILLED	AA F IH L D
DEVOLUTION'S	D EH V AH L UW SH AH N Z
ORDE	AO R D
CHINDITS	CH IH N D AH T S
INFAMY'S	IH N F AH M IY Z
DISRESPECTFUL'S	D IH S R IH S P EH K T F AH L Z
CHICKEN-OR-EGG	CH IH K AH N AO R EH G
ANACHRONOUS	AH N AE K R AH N AH S
CONVOCATE	K AH N V OW K AH T
EKPHRASIS	EH K R AH S AH S
ICBMS	IH K B M Z
EFFECTUALLY	IH F EH K CH AH W AH L IY
ENTEROTOMY	IH N T AH R AA T AH M IY
EXTEMPORISATION	EH K S T EH M P OW R AY Z EY SH AH N
ABMIGRATION'S	AE B M AH G R EY T IY AH N Z
FORSAKES	F AO R S EY K S
CASH-FLOW	K AE SH F L OW
ALERT'S	AH L ER TS
EASYGOINGNESS	IY Z IY G OW IH NG N AH S
ACANTHOPODS	AH K AE N TH AH P AH D Z
FLEXURES	F L EH K SH ER Z
FRACTUROUS	F R AE K CH ER AH S
STRENGTH'S	S T R EH NG K TH S
ECHOENCEPHALOGRAPH	AH CH OW EH N S AH F AH L AA G R AH F
NONINVASIVELY	N AA N IH N V EY S IH V L IY
CLIENTS-TO-BE	K L AY AH N T S T UW B IY
FAIRING	F EH R IH NG
DRAG-LESS	D R AE G L EH S
TROLLEY'S	T R AA L IY Z
EXTENSOMETERS	IH K S T EH N S AA M AH T AH R Z
CHANCELLERY	CH AE N S AH L AH R IY
BUTT-JOINTING	B AH T JH OY N T IH NG
FIELDMOUSE	F IY L D M AW S
FALCULAE	F AE L K Y AH L IY
TRAILBLAZING	T R EY L B L EY Z IH NG
FIT-UP	F IH T AH P
FOUR-FLUSHERS	F AO R F L AH SH ER Z
WELL-PRACTISED	W EH L P R AE K T IH S T
FISTFIGHT	F IH S T F AY T
ARE'S	AA R Z
ANZAC	AE N Z AH K
FLAT-TOPPED	F L AE T T AA P T
STRIP-DOWN	S T R IH P D AW N
RUNNING'S	R AH N IH NG Z
DECARBURIZATION	D IY S ER B IY Y ER AH Z EY SH AH N
NEGATIVE/POSITIVE	N EH G AH T IH V P AA Z AH T IH V
ELECTRONS/ELECTROPHILES	IH L EH K T R AA N Z AH L EH K T R AH F AY L Z
ELECTROPHILES	AH L EH K T R AH F AY L Z
TIPPING-POINT	T IH P IH NG P OY N T
SKIN-SAVING	S K IH N S EY V IH NG
GUESS'LI	G Y UW EH S L IY
DESPERANDUM	D IH S AH R AE N D AH M
OFF...THAT'S	AO F DH AE T S
DAREN'T	D EH R AH N T
MOUNTAINSIDE'S	M AW N T AH N S AY D Z
DOWN-RUSHING	D AW N R AH SH IH NG
EXPLORATIVE	IH K S P L OW R AH T IH V
BAREKNUCKLE	B EH R N AH K AH L
QUEENSBURY	K W IY N Z B EH R IY
NO-QUESTIONS-ASKED	N OW K W EH S CH AH N Z AE S K T
DAMASCUS-BOUND	D AH M AE S K AH S B AW N D
PHARISEE	F AE R AH Z IY IY
DIFF'RENCE	D IH F R AH N S
EXPOSTULATE	EH K S P AA S CH AH L AH T
DEINONYCHUS	D IY AH N AA N AH CH AH S
EXPIATED	EH K S P IY EY T IH D
SPRING-SEEMING	S P R IH NG S IY M IH NG
BEWEPT	B IH W EH P T
TWO-NINETY-TWO	T UW N AY N T IY T UW
MEBBE	M EH B
SOLIPSISTIC	S AH L IH P S AH S T AH K
DUBBAYA	D AH B EY AH
SIGH'S	S AY Z
ME-ING	M IY IH NG
READY-TO-ROLL	R EH D IY T UW R OW L
RARING	R EH R IH NG
VA-VA-VOOM	V AA V AA V UW M
CAROUSING-TYPE	K ER AW Z IH NG T AY P
VODKA'S	V AA D K AH Z
A-BOMBS	EY B AA M Z
MAGNETIC...I'M	M AE G N EH T IH K AY M
WILLY'S	W IH L IY Z
IDEA-LIKE	AY D IY AH L AY K
MORE-THAN-ENOUGH	M AO R DH AE N IH N AH F
PASTEL-HUED	P AE S T EH L HH Y UW D
WAY"'S	W EY S
TAGGER	T AE G ER
WRIST'S	R IH S TS
TABULA	T AE B Y UW L AH
RASA	R AE S AH
BARTHOLDI'S	B AA R TH OW L D IY Z
DERRING-DO'S	D EH R IH NG D UW Z
ANGEL-GENE'S	EY N JH AH L JH IY N Z
S-A-S	EH S EY EH S
NOUGH	N UW
BROWNIE'S	B R AW N IY Z
CRUNCHABLE	K R AH N CH AH B AH L
MTV'S	EH M T IY V IY Z
DEF'NITELY	D IH F N AY T L IY
XV	EH K S V
HIGH-MAX	HH AY M AE K S
UNWRINKLE	AH N R IH NG K AH L
AGGRESSED	AH G R EH S T
JOTTLE	JH AA T AH L
RETARDER	R IH T AA R D ER
TEMP'RATURE'S	T EH M P R AE T Y AH R AH Z
CONDITIONING'S	K AH N D IH SH AH N IH NG Z
UNENDINGLY	AH N EH N D IH NG L IY
ACTUALITY'S	AE K CH UW AE L AH T IY Z
